Town,Date,Sale Amount,Lower_CI,Upper_CI
Andover,2022-10-01,142729.8343729705,-36751.904526842554,322211.57327278354
Andover,2022-11-01,136310.07735762763,-63725.24639197593,336345.40110723116
Andover,2022-12-01,166904.3243189865,-44633.52626965122,378442.17490762426
Andover,2023-01-01,148936.44448955575,-73509.93955205538,371382.8285311669
Andover,2023-02-01,144917.24447827664,-87927.17860522508,377761.66756177833
Andover,2023-03-01,148915.20175338988,-93882.3620552393,391712.7655620191
Andover,2023-04-01,172019.01472770426,-80339.43800796143,424377.46746336995
Andover,2023-05-01,170878.87210318597,-90691.23398435736,432448.9781907293
Andover,2023-06-01,151330.57704990482,-119137.63218259308,421798.7862824027
Andover,2023-07-01,159056.06713386544,-120026.68783094257,438138.82209867344
Andover,2023-08-01,179374.06302688475,-108065.85012754687,466813.97618131636
Andover,2023-09-01,126731.64910824409,-168830.78673259332,422294.08494908153
Andover,2023-10-01,125750.98954589487,-187615.50130121977,439117.4803930095
Andover,2023-11-01,123790.27852136633,-201211.01626745277,448791.57331018546
Andover,2023-12-01,154384.5254827252,-180885.38247773514,489654.4334431855
Andover,2024-01-01,136416.64565329446,-208816.58114735002,481649.87245393894
Andover,2024-02-01,132397.44564201534,-222519.51744923604,487314.40873326676
Andover,2024-03-01,136395.40291712858,-227948.00730566418,500738.81313992135
Andover,2024-04-01,159499.21589144296,-214032.83163550193,533031.2634183879
Andover,2024-05-01,158359.07326692468,-224140.94054551705,540859.0870793664
Andover,2024-06-01,138810.77821364353,-252451.7049128486,530073.2613401357
Andover,2024-07-01,146536.26829760414,-253296.6980415157,546369.234636724
Andover,2024-08-01,166854.26419062345,-241370.1085533301,575078.636934577
Andover,2024-09-01,114211.8502719828,-302237.52898446505,530661.2295284306
Andover,2024-10-01,113231.19070963358,-319519.8197493931,545982.2011686603
Andover,2024-11-01,111270.47968510503,-332820.26072300837,555361.2200932184
Andover,2024-12-01,141864.7266464639,-312457.2572025992,596186.710495527
Andover,2025-01-01,123896.84681703315,-340430.9948114022,588224.6884454685
Andover,2025-02-01,119877.64680575402,-354244.9366749787,594000.2302864868
Andover,2025-03-01,123875.60408086724,-359843.43000752135,607594.6381692558
Andover,2025-04-01,146979.41705518164,-346149.35295831674,640108.1870686801
Andover,2025-05-01,145839.27443066335,-356523.0089811884,648201.5578425151
Andover,2025-06-01,126290.9793773822,-385138.13975558785,637720.0985103522
Andover,2025-07-01,134016.46946134281,-386321.5208486443,654354.4597713299
Andover,2025-08-01,154334.46535436212,-374763.30567026243,683432.2363789867
Andover,2025-09-01,101692.05143572147,-436026.05974951433,639410.1626209572
Andover,2025-10-01,100711.39187337225,-452779.29257304955,654202.076319794
Ansonia,2022-10-01,294676.92215701187,234579.69447076376,354774.14984326
Ansonia,2022-11-01,296585.9243016763,229137.66583438937,364034.18276896316
Ansonia,2022-12-01,293493.74627364124,219420.4140547083,367567.07849257416
Ansonia,2023-01-01,285693.1029634204,205540.43854982703,365845.76737701375
Ansonia,2023-02-01,298935.406970283,213133.07175613922,384737.7421844268
Ansonia,2023-03-01,289033.22653232,197930.9111002123,380135.54196442774
Ansonia,2023-04-01,297182.37848691584,201071.90527385287,393292.8516999788
Ansonia,2023-05-01,304928.7076523683,204058.4231214351,405798.9921833015
Ansonia,2023-06-01,306649.71245332743,201234.31676615897,412065.1081404959
Ansonia,2023-07-01,317815.1641846754,208042.68490209078,427587.64346725994
Ansonia,2023-08-01,313849.81985257956,199886.71528933843,427812.9244158207
Ansonia,2023-09-01,309284.98375784326,191277.21636029787,427292.75115538866
Ansonia,2023-10-01,313399.3156148711,185198.70117438925,441599.930055353
Ansonia,2023-11-01,315337.29698964336,180879.84722399933,449794.7467552874
Ansonia,2023-12-01,314099.8968570936,173664.09408165218,454535.69963253505
Ansonia,2024-01-01,304327.8424044401,158157.9962452536,450497.6885636266
Ansonia,2024-02-01,313223.6195900338,161536.33167290376,464910.9075071638
Ansonia,2024-03-01,305383.75907734176,148372.7951286342,462394.7230260493
Ansonia,2024-04-01,316733.00784297945,154573.04866501206,478892.96702094685
Ansonia,2024-05-01,322826.0544146184,155675.63706956638,489976.4717596704
Ansonia,2024-06-01,325990.75133260735,153994.61228439934,497986.89038081537
Ansonia,2024-07-01,331813.6800999358,155104.64804070644,508522.7121591652
Ansonia,2024-08-01,330967.230768861,149667.77447563008,512266.68706209195
Ansonia,2024-09-01,329696.686681174,143915.73044412586,515477.6429182221
Ansonia,2024-10-01,331691.3532534337,138527.84295562026,524854.8635512472
Ansonia,2024-11-01,333634.4116180446,134876.51445505812,532392.308781031
Ansonia,2024-12-01,332721.9576104687,128522.88118555571,536921.0340353816
Ansonia,2025-01-01,322604.523577315,113105.5390685999,532103.50808603
Ansonia,2025-02-01,330738.8149531499,116070.73047207147,545406.8994342283
Ansonia,2025-03-01,323260.2607024121,103544.65215994391,542975.8692448803
Ansonia,2025-04-01,335170.14751577534,110520.39592025397,559819.8991112967
Ansonia,2025-05-01,340973.54874839337,111495.72133751019,570451.3761592766
Ansonia,2025-06-01,344391.17199261574,110184.77613090584,578597.5678543256
Ansonia,2025-07-01,349278.12231262296,110436.75476523436,588119.4898600115
Ansonia,2025-08-01,348978.0849520859,105589.99435188537,592366.1755522864
Ansonia,2025-09-01,348284.6813537419,100427.92856207505,596141.4341454088
Ansonia,2025-10-01,349907.9950959924,95371.92279309427,604444.0673988905
Ashford,2022-10-01,251817.44221556658,133812.01814288757,369822.8662882456
Ashford,2022-11-01,253989.1768706875,127397.46968310306,380580.8840582719
Ashford,2022-12-01,224191.2339044515,90709.2067994521,357673.2610094509
Ashford,2023-01-01,251666.0107553579,111632.28956775236,391699.73194296344
Ashford,2023-02-01,234814.39835390056,88522.10603147605,381106.69067632506
Ashford,2023-03-01,238827.6081453172,86533.72545810413,391121.4908325303
Ashford,2023-04-01,239539.35473896586,81471.58822602208,397607.12125190964
Ashford,2023-05-01,244822.08159233624,81184.03236421477,408460.1308204577
Ashford,2023-06-01,256181.44835245732,87156.58679624647,425206.30990866816
Ashford,2023-07-01,256030.22684671188,81785.00607678632,430275.44761663745
Ashford,2023-08-01,256599.82848684365,77285.5584270911,435914.0985465962
Ashford,2023-09-01,261836.20831357874,77586.05939860619,446086.3572285513
Ashford,2023-10-01,262752.58560983784,69211.47697672117,456293.6942429545
Ashford,2023-11-01,264647.6614084789,65026.45525679909,464268.8675601587
Ashford,2023-12-01,234849.71844224294,29446.902385323425,440252.53449916246
Ashford,2024-01-01,262324.4952931493,51298.410680143774,473350.5799061549
Ashford,2024-02-01,245472.882891692,28969.533290283405,461976.2324931006
Ashford,2024-03-01,249486.09268310864,27640.66734053986,471331.5180256774
Ashford,2024-04-01,250197.83927675727,23135.98554942661,477259.6930040879
Ashford,2024-05-01,255480.5661301276,23319.461670219316,487641.6705900359
Ashford,2024-06-01,266839.93289024866,29689.196352005034,503990.6694284923
Ashford,2024-07-01,266688.7113845032,24651.18161065562,508726.24115835084
Ashford,2024-08-01,267258.31302463496,20429.98718358914,514086.6388656808
Ashford,2024-09-01,272494.69285137,20956.295358831063,524033.090343909
Ashford,2024-10-01,273411.0701476291,13534.497150651616,533287.6431446066
Ashford,2024-11-01,275306.1459462702,9685.49721086718,540926.7946816732
Ashford,2024-12-01,245508.20298003423,-25633.717923277465,516650.1238833459
Ashford,2025-01-01,272982.9798309406,-3570.006987329456,549535.9666492107
Ashford,2025-02-01,256131.36742948327,-25728.82569552114,537991.5605544876
Ashford,2025-03-01,260144.57722089993,-26924.72267313325,547213.8771149331
Ashford,2025-04-01,260856.32381454855,-31329.229988391628,553041.8776174887
Ashford,2025-05-01,266139.0506679189,-31074.69933169533,563352.8006675332
Ashford,2025-06-01,277498.41742804,-24659.867289899674,579656.7021459797
Ashford,2025-07-01,277347.1959222946,-29676.004363945278,584370.3962085345
Ashford,2025-08-01,277916.7975624263,-33896.239265139506,589729.8343899921
Ashford,2025-09-01,283153.17738916137,-33390.29139409243,599696.6461724152
Ashford,2025-10-01,284069.5546854205,-40415.393352632,608554.5027234729
Avon,2022-10-01,494455.17060968763,334161.6689413523,654748.672278023
Avon,2022-11-01,475633.36683342874,290877.77093566384,660388.9627311936
Avon,2022-12-01,464124.0980905646,265705.69633028825,662542.499850841
Avon,2023-01-01,471170.7586458671,259971.57734455407,682369.9399471802
Avon,2023-02-01,469770.14667569246,246520.67574535045,693019.6176060345
Avon,2023-03-01,482602.9505789329,247921.12679581487,717284.7743620509
Avon,2023-04-01,497171.5743616291,251589.02079173987,742754.1279315182
Avon,2023-05-01,491239.9309110625,235220.35568171617,747259.5061404088
Avon,2023-06-01,516941.20483006316,250893.73669773788,782988.6729623885
Avon,2023-07-01,516151.9610025059,240441.08367556043,791862.8383294514
Avon,2023-08-01,529029.1770371255,243980.91714778618,814077.4369264648
Avon,2023-09-01,500668.09194283874,206576.063349683,794760.1205359944
Avon,2023-10-01,506763.442071763,196060.97826564754,817465.9058778784
Avon,2023-11-01,488419.25500202796,165405.74714069604,811432.7628633599
Avon,2023-12-01,476909.9862591638,142917.20000146318,810902.7725168645
Avon,2024-01-01,483956.6468144664,139334.1918010295,828579.1018279033
Avon,2024-02-01,482556.03484429175,127622.10877479333,837489.9609137902
Avon,2024-03-01,495388.8387475322,130434.66715675435,860343.0103383102
Avon,2024-04-01,509957.4625302284,135250.90674647014,884664.0183139867
Avon,2024-05-01,504025.8190796618,119814.34261948412,888237.2955398394
Avon,2024-06-01,529727.0929986624,136240.22601609438,923213.9599812303
Avon,2024-07-01,528937.8491711052,126389.25515113241,931486.443191078
Avon,2024-08-01,541815.0652057248,130402.61924555409,953227.5111658955
Avon,2024-09-01,513453.9801114381,93360.39188004861,933547.5683428275
Avon,2024-10-01,519549.33024036227,84574.37292534753,954524.287555377
Avon,2024-11-01,501205.14317062724,54681.133128010784,947729.1532132437
Avon,2024-12-01,489695.8744277631,32650.62473575113,946741.1241197751
Avon,2025-01-01,496742.5349830657,29412.85548917338,964072.2144769579
Avon,2025-02-01,495341.923012891,17949.318714048248,972734.5273117338
Avon,2025-03-01,508174.7269161315,20926.978733541502,995422.4750987215
Avon,2025-04-01,522743.3506988277,25835.876698526903,1019650.8246991285
Avon,2025-05-01,516811.7072482611,10428.742025418556,1023194.6724711036
Avon,2025-06-01,542512.9811672616,26828.60347347468,1058197.3588610485
Avon,2025-07-01,541723.7373397044,16902.770170409,1066544.7045089998
Avon,2025-08-01,554600.953374324,20797.922361595556,1088403.9843870525
Avon,2025-09-01,526239.8682800373,-16401.726243573474,1068881.462803648
Avon,2025-10-01,532335.2184089615,-24601.198294582427,1089271.6351125054
Barkhamsted,2022-10-01,313002.2525978074,136063.0857773407,489941.4194182741
Barkhamsted,2022-11-01,338241.8265426909,157843.04521561848,518640.6078697634
Barkhamsted,2022-12-01,279784.36880502803,93839.91779032903,465728.81981972704
Barkhamsted,2023-01-01,313109.7483995502,121780.30037788383,504439.1964212166
Barkhamsted,2023-02-01,310732.91099934076,114165.93331618473,507299.8886824968
Barkhamsted,2023-03-01,326307.68593653996,124639.15603747524,527976.2158356047
Barkhamsted,2023-04-01,341249.4979516209,134605.32214979132,547893.6737534505
Barkhamsted,2023-05-01,289760.8804304269,78258.07887759793,501263.6819832559
Barkhamsted,2023-06-01,324170.1250128333,107917.8301872488,540422.4198384178
Barkhamsted,2023-07-01,308815.39594515046,87915.70076572022,529715.0911245807
Barkhamsted,2023-08-01,330864.9554381336,105414.63184095384,556315.2790353134
Barkhamsted,2023-09-01,297915.4742886083,67999.54938550058,527831.399191716
Barkhamsted,2023-10-01,322563.5333675425,81159.63376137719,563967.4329737078
Barkhamsted,2023-11-01,351176.6423945722,104499.55184869503,597853.7329404494
Barkhamsted,2023-12-01,292719.1846569093,40552.641766430985,544885.7275473876
Barkhamsted,2024-01-01,326044.5642514315,68505.54927971913,583583.5792231439
Barkhamsted,2024-02-01,323667.72685122205,60866.04586558259,586469.4078368614
Barkhamsted,2024-03-01,339242.50178842124,71281.49123457941,607203.512342263
Barkhamsted,2024-04-01,354184.3138035022,81161.45185036649,627207.1757566379
Barkhamsted,2024-05-01,302695.6962823082,24703.13621783204,580688.2563467843
Barkhamsted,2024-06-01,337104.9408647145,54229.97886840097,619979.902861028
Barkhamsted,2024-07-01,321750.2117970317,34075.69911149581,609424.7244825675
Barkhamsted,2024-08-01,343799.77129001485,51405.71104202833,636193.8315380013
Barkhamsted,2024-09-01,310850.2901404895,13801.151002574188,607899.4292784049
Barkhamsted,2024-10-01,335498.3492194237,27645.356735032867,643351.3417038146
Barkhamsted,2024-11-01,364111.45824645343,50846.05159111071,677376.8649017962
Barkhamsted,2024-12-01,305654.00050879054,-13226.622984137095,624534.6240017181
Barkhamsted,2025-01-01,338979.3801033127,14580.721250502043,663378.0389561234
Barkhamsted,2025-02-01,336602.5427031033,6778.152598769113,666426.9328074374
Barkhamsted,2025-03-01,352177.31764030247,17015.017772453662,687339.6175081513
Barkhamsted,2025-04-01,367119.1296553834,26702.61031403183,707535.648996735
Barkhamsted,2025-05-01,315630.51213418937,-29960.35356931336,661221.3778376922
Barkhamsted,2025-06-01,350039.7567165957,-649.1178379615303,700728.6312711529
Barkhamsted,2025-07-01,334685.02764891286,-21028.80052909121,690398.8558269169
Barkhamsted,2025-08-01,356734.587141896,-3932.8161552147358,717401.9904390068
Barkhamsted,2025-09-01,323785.1059923707,-41782.67125352117,689352.8832382625
Barkhamsted,2025-10-01,348433.1650713049,-27599.195587160706,724465.5257297705
Beacon Falls,2022-10-01,262766.39393106697,109182.45879579053,416350.3290663434
Beacon Falls,2022-11-01,247969.23142465134,87726.81353957759,408211.6493097251
Beacon Falls,2022-12-01,265651.7283593979,99016.6780668378,432286.778651958
Beacon Falls,2023-01-01,233117.10564357325,60325.76445767161,405908.4468294749
Beacon Falls,2023-02-01,256576.2352056809,77840.52170743106,435311.9487039307
Beacon Falls,2023-03-01,264478.48281737353,79989.82991025437,448967.1357244927
Beacon Falls,2023-04-01,234030.02963340952,43962.48662021401,424097.572646605
Beacon Falls,2023-05-01,277428.6635114566,81941.37783773587,472915.9491851773
Beacon Falls,2023-06-01,274867.7574678615,74106.98705592292,475628.5278798001
Beacon Falls,2023-07-01,269877.92751594714,63978.69202077002,475777.16301112424
Beacon Falls,2023-08-01,284764.9164649686,73852.36670633199,495677.4662236052
Beacon Falls,2023-09-01,254847.63771883014,39035.96712271919,470659.3083149411
Beacon Falls,2023-10-01,270283.3944432276,42014.211978009436,498552.5769084458
Beacon Falls,2023-11-01,255486.231936812,20861.11729873845,490111.34657488554
Beacon Falls,2023-12-01,273168.72887155856,32355.37898992325,513982.07875319384
Beacon Falls,2024-01-01,240634.10615573393,-6212.394264950533,487480.6065764184
Beacon Falls,2024-02-01,264093.23571784154,11357.5630606474,516828.9083750357
Beacon Falls,2024-03-01,271995.4833295342,13504.775871144928,530486.1907879234
Beacon Falls,2024-04-01,241547.03014557017,-22573.34314160631,505667.40343274665
Beacon Falls,2024-05-01,284945.6640236172,15313.141006912221,554578.1870403222
Beacon Falls,2024-06-01,282384.7579800222,7350.535537012387,557418.980423032
