Date,Town,Sale Amount
10/06,Andover,310880.0
11/06,Andover,310880.0
12/06,Andover,310880.0
01/07,Andover,310880.0
02/07,Andover,310880.0
03/07,Andover,310880.0
04/07,Andover,310880.0
05/07,Andover,310880.0
06/07,Andover,310880.0
07/07,Andover,310880.0
08/07,Andover,310880.0
09/07,Andover,310880.0
10/07,Andover,310880.0
11/07,Andover,346465.0
12/07,Andover,231775.0
01/08,Andover,170000.0
02/08,Andover,300000.0
03/08,Andover,317923.33
04/08,Andover,350000.0
05/08,Andover,365000.0
06/08,Andover,331740.0
07/08,Andover,204000.0
08/08,Andover,229850.0
09/08,Andover,337750.0
10/08,Andover,96000.0
11/08,Andover,192625.0
12/08,Andover,210000.0
01/09,Andover,321950.0
02/09,Andover,245000.0
03/09,Andover,283397.14
04/09,Andover,302242.25
05/09,Andover,132500.0
06/09,Andover,211375.0
07/09,Andover,241450.0
08/09,Andover,255333.33
09/09,Andover,298194.88
10/09,Andover,203000.0
11/09,Andover,252225.0
12/09,Andover,187566.67
01/10,Andover,264500.0
02/10,Andover,335625.0
03/10,Andover,258500.0
04/10,Andover,274000.0
05/10,Andover,218096.44
06/10,Andover,251000.0
07/10,Andover,143300.0
08/10,Andover,234766.5
09/10,Andover,172273.0
10/10,Andover,261833.33
11/10,Andover,203133.33
12/10,Andover,229858.33
01/11,Andover,129900.0
02/11,Andover,178000.0
03/11,Andover,175000.0
04/11,Andover,260500.0
05/11,Andover,203100.0
06/11,Andover,265000.0
07/11,Andover,312500.0
08/11,Andover,313741.67
09/11,Andover,376750.0
10/11,Andover,285564.37
11/11,Andover,194333.33
12/11,Andover,179500.0
01/12,Andover,283878.09
02/12,Andover,470000.0
03/12,Andover,285455.39
04/12,Andover,285455.39
05/12,Andover,285455.39
06/12,Andover,285455.39
07/12,Andover,285455.39
08/12,Andover,285455.39
09/12,Andover,285455.39
10/12,Andover,285455.39
11/12,Andover,200750.0
12/12,Andover,228500.0
01/13,Andover,322000.0
02/13,Andover,320000.0
