Date,Unemployed,Town
2024-11-01,29.95855488592404,Andover
2024-12-01,31.977243038283206,Andover
2025-01-01,45.96723814211158,Andover
2025-02-01,45.016814461228954,Andover
2025-03-01,35.93271777561272,Andover
2025-04-01,25.63599056041219,Andover
2025-05-01,38.40039708354303,Andover
2025-06-01,29.077074721316983,Andover
2025-07-01,33.429099244477314,Andover
2025-08-01,28.493740628616695,Andover
2025-09-01,25.174041353727805,Andover
2025-10-01,24.112255907807892,Andover
2024-11-01,46.29737181166647,Ashford
2024-12-01,43.015416661124554,Ashford
2025-01-01,77.59258730984907,Ashford
2025-02-01,74.3594197288418,Ashford
2025-03-01,63.60877764218172,Ashford
2025-04-01,47.207702881762785,Ashford
2025-05-01,72.19385097918823,Ashford
2025-06-01,73.33901261137265,Ashford
2025-07-01,76.9072691465266,Ashford
2025-08-01,67.05874981884676,Ashford
2025-09-01,43.816113964624144,Ashford
2025-10-01,39.83230434054435,Ashford
2024-11-01,156.33716101387495,Avon
2024-12-01,144.89706979720577,Avon
2025-01-01,167.79037064958217,Avon
2025-02-01,184.3245496463417,Avon
2025-03-01,146.93604842041213,Avon
2025-04-01,124.03225609743649,Avon
2025-05-01,162.23128084976707,Avon
2025-06-01,131.87684371650113,Avon
2025-07-01,143.10668370971365,Avon
2025-08-01,138.43399173158988,Avon
2025-09-01,128.12619689615232,Avon
2025-10-01,130.6118951648412,Avon
2024-11-01,32.1105547619233,Barkhamsted
2024-12-01,33.33229543319284,Barkhamsted
2025-01-01,53.67595560921007,Barkhamsted
2025-02-01,52.52522517708323,Barkhamsted
2025-03-01,40.4923669665841,Barkhamsted
2025-04-01,25.689198034481905,Barkhamsted
2025-05-01,32.47991216489823,Barkhamsted
2025-06-01,21.043748282063554,Barkhamsted
2025-07-01,30.746793612368347,Barkhamsted
2025-08-01,30.874638082683433,Barkhamsted
2025-09-01,23.473053616632335,Barkhamsted
2025-10-01,23.274198907174547,Barkhamsted
2024-11-01,79.89228451756273,Beacon Falls
2024-12-01,79.58271323582463,Beacon Falls
2025-01-01,101.9580120483385,Beacon Falls
2025-02-01,103.38003726498553,Beacon Falls
2025-03-01,93.02918304380913,Beacon Falls
2025-04-01,79.81489979967597,Beacon Falls
2025-05-01,86.7993243316316,Beacon Falls
2025-06-01,72.51127951153292,Beacon Falls
2025-07-01,84.19711734682923,Beacon Falls
2025-08-01,83.6360457319591,Beacon Falls
2025-09-01,77.68672282721663,Beacon Falls
2025-10-01,78.91528624914672,Beacon Falls
2024-11-01,225.59483623608097,Berlin
2024-12-01,230.12128862464243,Berlin
2025-01-01,286.1796907233696,Berlin
2025-02-01,299.987568231629,Berlin
2025-03-01,257.4205058011805,Berlin
2025-04-01,202.56000076609928,Berlin
2025-05-01,236.20988216635743,Berlin
2025-06-01,195.47355656301963,Berlin
2025-07-01,218.32683713524244,Berlin
2025-08-01,211.95657592898752,Berlin
2025-09-01,185.17578841690386,Berlin
2025-10-01,195.77316048754204,Berlin
2024-11-01,65.71420584356348,Bethany
2024-12-01,70.3469227448832,Bethany
2025-01-01,87.8203299663775,Bethany
2025-02-01,90.53820401460307,Bethany
2025-03-01,74.48889836028927,Bethany
2025-04-01,54.99817472096223,Bethany
2025-05-01,68.19576779452856,Bethany
2025-06-01,55.60112800161862,Bethany
2025-07-01,62.95171895116392,Bethany
2025-08-01,63.46057732847028,Bethany
2025-09-01,61.13097100141979,Bethany
2025-10-01,56.58747978844799,Bethany
2024-11-01,236.26064989594028,Bethel
2024-12-01,228.48266906670133,Bethel
2025-01-01,276.9322123291251,Bethel
2025-02-01,289.17748626053094,Bethel
2025-03-01,241.53697168642117,Bethel
2025-04-01,198.40916663607857,Bethel
2025-05-01,235.9248280578234,Bethel
2025-06-01,207.36869072715655,Bethel
2025-07-01,239.5191483539181,Bethel
2025-08-01,232.66072745035328,Bethel
2025-09-01,205.80132440347535,Bethel
2025-10-01,212.91638885968612,Bethel
2024-11-01,38.44405479069623,Bethlehem
2024-12-01,45.94842310160571,Bethlehem
2025-01-01,77.98620741330444,Bethlehem
2025-02-01,81.94221459100511,Bethlehem
2025-03-01,68.07694406011171,Bethlehem
2025-04-01,37.464675700741545,Bethlehem
2025-05-01,44.012726991965806,Bethlehem
2025-06-01,35.27513471583897,Bethlehem
2025-07-01,43.028204986140274,Bethlehem
2025-08-01,39.64393085390238,Bethlehem
2025-09-01,29.711605430440244,Bethlehem
2025-10-01,31.86779851333165,Bethlehem
2024-11-01,293.96688790511377,Bloomfield
2024-12-01,305.1892638821823,Bloomfield
2025-01-01,352.6633335061488,Bloomfield
2025-02-01,362.05851880269563,Bloomfield
2025-03-01,317.3521776308919,Bloomfield
2025-04-01,281.98256711428115,Bloomfield
2025-05-01,321.7035445128021,Bloomfield
2025-06-01,284.8306488141227,Bloomfield
2025-07-01,323.9106875919725,Bloomfield
2025-08-01,320.0412158924283,Bloomfield
2025-09-01,277.80626157215323,Bloomfield
2025-10-01,290.7915836618774,Bloomfield
2024-11-01,60.63691567559787,Bolton
2024-12-01,61.08453670366467,Bolton
2025-01-01,71.03263680060621,Bolton
2025-02-01,74.0658376963129,Bolton
2025-03-01,62.603380419122814,Bolton
2025-04-01,51.628631808175,Bolton
2025-05-01,62.06444057135881,Bolton
2025-06-01,56.690672172274645,Bolton
2025-07-01,61.12911087704974,Bolton
2025-08-01,59.552378971933194,Bolton
2025-09-01,54.99367735263169,Bolton
2025-10-01,55.26314727651369,Bolton
2024-11-01,27.247216306923487,Bozrah
2024-12-01,28.835819588956483,Bozrah
2025-01-01,30.90255936954874,Bozrah
2025-02-01,30.526477472099756,Bozrah
2025-03-01,24.70564170618265,Bozrah
2025-04-01,21.290191054750014,Bozrah
2025-05-01,22.91275898559795,Bozrah
2025-06-01,20.600886868998803,Bozrah
2025-07-01,23.04491000871997,Bozrah
2025-08-01,24.496109985801557,Bozrah
2025-09-01,25.075369505253697,Bozrah
2025-10-01,25.664912830046497,Bozrah
2024-11-01,24.24099472564333,Bridgewater
2024-12-01,22.602659890387784,Bridgewater
2025-01-01,31.15383968141648,Bridgewater
2025-02-01,33.496450101270945,Bridgewater
2025-03-01,28.739855532094495,Bridgewater
2025-04-01,26.73205617432499,Bridgewater
2025-05-01,30.08389771629281,Bridgewater
2025-06-01,29.127738405787145,Bridgewater
2025-07-01,29.742763567944195,Bridgewater
2025-08-01,26.56569119470099,Bridgewater
2025-09-01,26.34752986986753,Bridgewater
2025-10-01,26.202536162222202,Bridgewater
2024-11-01,190.88605482704332,Brookfield
2024-12-01,184.2380795320849,Brookfield
2025-01-01,229.05616940085076,Brookfield
2025-02-01,249.44204882851386,Brookfield
2025-03-01,205.30434801954493,Brookfield
2025-04-01,164.2738888316972,Brookfield
2025-05-01,203.44429012494183,Brookfield
2025-06-01,168.81773409763613,Brookfield
2025-07-01,195.25792620212945,Brookfield
2025-08-01,186.7011549417518,Brookfield
2025-09-01,162.70587705833918,Brookfield
2025-10-01,171.62452053167715,Brookfield
2024-11-01,79.20557316600207,Brooklyn
2024-12-01,79.07826395267747,Brooklyn
2025-01-01,117.96823720437916,Brooklyn
2025-02-01,118.42230761624305,Brooklyn
2025-03-01,96.76869210528295,Brooklyn
2025-04-01,82.90763271502163,Brooklyn
2025-05-01,109.37431062593855,Brooklyn
2025-06-01,105.12938394347533,Brooklyn
2025-07-01,117.65645916166045,Brooklyn
2025-08-01,100.3583622436154,Brooklyn
2025-09-01,79.4024441493577,Brooklyn
2025-10-01,75.74771332581838,Brooklyn
2024-11-01,116.82828315980129,Burlington
2024-12-01,117.34552068878348,Burlington
2025-01-01,155.8992098923151,Burlington
2025-02-01,163.68481921776697,Burlington
2025-03-01,141.96799297186172,Burlington
2025-04-01,116.81688497079868,Burlington
2025-05-01,134.85085581412096,Burlington
2025-06-01,126.30501361359104,Burlington
2025-07-01,133.45783757099295,Burlington
2025-08-01,114.83145993899217,Burlington
2025-09-01,103.81871204758701,Burlington
2025-10-01,100.95760924594269,Burlington
2024-11-01,5.3734816866429345,Canaan
2024-12-01,7.1631080889504855,Canaan
2025-01-01,11.080055609619274,Canaan
2025-02-01,15.098155952327183,Canaan
2025-03-01,12.576598343941669,Canaan
2025-04-01,3.6061608083696477,Canaan
2025-05-01,6.588871478882234,Canaan
2025-06-01,3.628466332403913,Canaan
2025-07-01,6.690024300921353,Canaan
2025-08-01,6.768871598926209,Canaan
2025-09-01,2.8742296022916847,Canaan
2025-10-01,2.8742296022916842,Canaan
2024-11-01,66.66104863186918,Canterbury
2024-12-01,69.41792726307403,Canterbury
2025-01-01,83.58089258035156,Canterbury
2025-02-01,93.8831302594383,Canterbury
2025-03-01,80.86169924093795,Canterbury
2025-04-01,61.511814056915384,Canterbury
2025-05-01,80.88807894519182,Canterbury
2025-06-01,67.81765704736286,Canterbury
2025-07-01,73.30880313469783,Canterbury
2025-08-01,72.06175001890517,Canterbury
2025-09-01,68.72279865077437,Canterbury
2025-10-01,66.58944657746584,Canterbury
2024-11-01,89.64580786263355,Canton
2024-12-01,84.61800281790703,Canton
2025-01-01,105.94148179700125,Canton
2025-02-01,114.5332029251652,Canton
2025-03-01,93.12402083334734,Canton
2025-04-01,75.0010114991337,Canton
2025-05-01,98.12845230187651,Canton
2025-06-01,81.06692953006613,Canton
2025-07-01,86.18043768751627,Canton
2025-08-01,82.73338948506559,Canton
2025-09-01,78.59840436583009,Canton
2025-10-01,76.96310917909378,Canton
2024-11-01,21.53209762144872,Chaplin
2024-12-01,25.94968846542698,Chaplin
2025-01-01,42.84700501028074,Chaplin
2025-02-01,42.735304462001245,Chaplin
2025-03-01,39.00456857817994,Chaplin
2025-04-01,30.285596285192348,Chaplin
2025-05-01,44.221427528948084,Chaplin
2025-06-01,37.822741483968485,Chaplin
2025-07-01,37.28435512934509,Chaplin
2025-08-01,32.57587631759246,Chaplin
2025-09-01,25.405536616081346,Chaplin
2025-10-01,21.23136043739433,Chaplin
2024-11-01,251.65049242593517,Cheshire
2024-12-01,229.3504083021849,Cheshire
2025-01-01,290.88754535480876,Cheshire
2025-02-01,316.5878817324501,Cheshire
2025-03-01,252.81259232477464,Cheshire
2025-04-01,199.96281871644595,Cheshire
2025-05-01,265.09019357064005,Cheshire
2025-06-01,209.08463911281913,Cheshire
2025-07-01,230.05216650936413,Cheshire
2025-08-01,219.78000425315543,Cheshire
2025-09-01,202.54588823872996,Cheshire
2025-10-01,206.75147897639664,Cheshire
2024-11-01,41.330970679255245,Chester
2024-12-01,42.93219534957119,Chester
2025-01-01,55.82670950491655,Chester
2025-02-01,52.654001703619436,Chester
2025-03-01,43.7736634727426,Chester
2025-04-01,35.4211599079141,Chester
2025-05-01,48.66656210169471,Chester
2025-06-01,37.74789176085336,Chester
2025-07-01,40.83438016093715,Chester
2025-08-01,39.67026293026978,Chester
2025-09-01,34.283778999790535,Chester
2025-10-01,35.15649127069219,Chester
