Town,Area Code
Fairfield,CS0950860000000
Hartford,CT0937000000000
Litchfield,CS0943370000000
New Haven,CT0952000000000
New London,CT0952280000000
Tolland,CS0976290000000
Windham,CS0986790000000
Branford,CS0953890000000
Cheshire,CS0914160000000
East Haven,CS0922910000000
Enfield,CS0925990000000
Farmington,CS0927600000000
Glastonbury,CS0931240000000
Greenwich,CS0933620000000
Groton,CS0934250000000
Hamden,CS0935650000000
Manchester,CS0944700000000
Mansfield,CS0944910000000
Newington,CS0952140000000
New Milford,CS0952630000000
Newtown,CS0952980000000
Ridgefield,CS0963970000000
Southington,CS0970550000000
Windsor,CS0987070000000
Stratford,CS0974190000000
Trumbull,CS0977200000000
Vernon,CS0978250000000
Wallingford,CS0978740000000
Westport,CS0983500000000
Wethersfield,CS0984900000000
Bridgeport,CT0908000000000
Bristol,CT0908420000000
Danbury,CT0918430000000
Meriden,CT0946450000000
Middletown,CT0947290000000
Milford,CT0947500000000
Naugatuck,CT0949880000000
New Britain,CT0950370000000
Norwalk,CT0955990000000
Norwich,CT0956200000000
Shelton,CT0968100000000
Stamford,CT0973000000000
Torrington,CT0976500000000
Waterbury,CT0980000000000
West Haven,CT0982800000000
Andover,CS0901080000000
Ashford,CS0901430000000
Avon,CS0902060000000
Barkhamsted,CS0902760000000
Beacon Falls,CS0903250000000
Berlin,CS0904300000000
Bethany,CS0904580000000
Bethel,CS0904720000000
Bethlehem,CS0904930000000
Bloomfield,CS0905910000000
Bolton,CS0906260000000
Bozrah,CS0906820000000
Bridgewater,CS0908210000000
Brookfield,CS0908980000000
Brooklyn,CS0909190000000
Burlington,CS0910100000000
Canaan,CS0910940000000
Canterbury,CS0912130000000
Canton,CS0912270000000
Chaplin,CS0913810000000
Chester,CS0914300000000
Clinton,CS0915350000000
Colchester,CS0915910000000
Colebrook,CS0916050000000
Columbia,CS0916400000000
Cornwall,CS0917240000000
Coventry,CS0917800000000
Cromwell,CS0918080000000
Darien,CS0918850000000
Deep River,CS0919130000000
Durham,CS0920810000000
Eastford,CS0921860000000
Granby,CS0932640000000
East Haddam,CS0922280000000
East Hampton,CS0922490000000
Lyme,CS0957040000000
Easton,CS0923890000000
Ellington,CS0925360000000
Essex,CS0926270000000
Franklin,CS0929910000000
Goshen,CS0932290000000
Griswold,CS0933900000000
Guilford,CS0934950000000
Haddam,CS0935230000000
Hampton,CS0936000000000
Hartland,CS0937140000000
Harwinton,CS0937280000000
Hebron,CS0937910000000
Kent,CS0940290000000
Killingly,CS0940500000000
Killingworth,CS0940710000000
Lebanon,CS0942390000000
Ledyard,CS0942600000000
Lisbon,CS0943230000000
Madison,CS0944560000000
Marlborough,CS0945820000000
Middlebury,CS0946940000000
Middlefield,CS0947080000000
Monroe,CS0948620000000
Montville,CS0948900000000
Morris,CS0949460000000
New Canaan,CS0950580000000
New Hartford,CS0951350000000
Norfolk,CS0953470000000
North Canaan,CS0954030000000
North Haven,CS0954870000000
Stonington,CS0973770000000
Old Saybrook,CS0957320000000
Orange,CS0957600000000
Oxford,CS0958300000000
Plainfield,CS0959980000000
Plainville,CS0960120000000
Plymouth,CS0960750000000
Pomfret,CS0961030000000
Portland,CS0961800000000
Preston,CS0962150000000
Prospect,CS0962290000000
Putnam,CS0962710000000
Redding,CS0963480000000
Rocky Hill,CS0965370000000
Roxbury,CS0965930000000
Salem,CS0966210000000
Salisbury,CS0966420000000
Scotland,CS0967400000000
Seymour,CS0967610000000
Sharon,CS0967960000000
Sherman,CS0968310000000
Simsbury,CS0968940000000
Somers,CS0969220000000
Southbury,CS0969640000000
Sprague,CS0971670000000
Stafford,CS0972090000000
Sterling,CS0973420000000
Suffield,CS0974540000000
Thomaston,CS0975730000000
Thompson,CS0975870000000
Union,CS0977830000000
Voluntown,CS0978600000000
Warren,CS0979510000000
Washington,CS0979720000000
Waterford,CS0980280000000
Watertown,CS0980490000000
Westbrook,CS0981680000000
Weston,CS0983430000000
Willington,CS0985950000000
Wilton,CS0986370000000
Winchester,CS0986440000000
Wolcott,CS0987560000000
Woodbridge,CS0987700000000
Woodbury,CS0987910000000
Woodstock,CS0988190000000
Ansonia,CT0901150000000
Derby,CT0919480000000
