List Year,Town,Assessed Value,Sale Amount
2020,Ansonia,150500.0,325000.0
2020,Bethany,511000.0,795000.0
2020,Branford,455100.0,650000.0
2021,Bridgeport,257910.0,500000.0
2020,Cornwall,246100.0,385000.0
2020,Coventry,359800.0,480000.0
2020,Cromwell,3360000.0,5214750.0
2020,Danbury,695500.0,3200000.0
2020,Derby,351260.0,873000.0
2020,East Lyme,776230.0,1525000.0
2021,Fairfield,833000.0,1400000.0
2020,Farmington,1213620.0,1125000.0
2020,Franklin,186770.0,209000.0
2020,Hartford,173670.0,439900.0
2020,Hartford,126560.0,180000.0
2020,Hartford,435610.0,525000.0
2021,New Britain,89390.0,125000.0
2020,Manchester,517700.0,800000.0
2021,New Canaan,6132140.0,13500000.0
2021,New Haven,225110.0,400000.0
2021,North Haven,943640.0,1600000.0
2020,New Britain,264390.0,400000.0
2020,Norwich,587600.0,939000.0
2020,Norwich,262300.0,352000.0
2020,Plymouth,596470.0,833111.0
2020,Redding,1769800.0,1800000.0
2020,Shelton,310660.0,375000.0
2021,Suffield,342790.0,1325000.0
2020,Stamford,486230.0,930000.0
2020,Stamford,596290.0,800000.0
2020,Stratford,429800.0,650000.0
2021,Waterbury,105490.0,190000.0
2021,Waterford,263487.0,650000.0
2021,Watertown,315200.0,532500.0
2021,New Britain,329000.0,103750.0
2021,Glastonbury,730700.0,1565786.0
2021,New Britain,622720.0,1275000.0
2021,Glastonbury,7350000.0,11393647.0
2021,Bristol,731430.0,2900000.0
2021,Danbury,53000.0,105400.0
2021,Cromwell,881860.0,2035434.0
2021,Hamden,255500.0,245000.0
2021,Bethel,596680.0,1250000.0
2021,Bridgeport,3041800.0,139900.0
2021,Derby,472850.0,525000.0
2021,Danbury,600400.0,900000.0
2021,Barkhamsted,187030.0,5000.0
2021,Branford,49800.0,100000.0
2021,Middletown,1572550.0,2100000.0
2021,New Britain,128870.0,535614.0
2021,Danbury,400200.0,900000.0
2021,Bridgeport,7941540.0,75000.0
2021,Danbury,5408600.0,7957000.0
2021,Danbury,172400.0,360000.0
2021,Danbury,804700.0,791500.0
2021,Bristol,375620.0,655000.0
2021,Clinton,262274.0,500000.0
2021,East Windsor,92810.0,187000.0
2021,Middletown,863790.0,1795000.0
2021,Farmington,3300570.0,5750000.0
2021,Madison,250800.0,375000.0
2021,New Britain,3044790.0,8000000.0
2021,East Windsor,143570.0,350000.0
2021,New Britain,193270.0,77760.0
2021,Bozrah,228140.0,250000.0
2021,Fairfield,1693860.0,650000.0
2021,Bridgeport,1950300.0,16000.0
2021,Chaplin,94100.0,75000.0
2021,Middletown,173710.0,270000.0
2021,Bridgeport,2030180.0,189000.0
2021,Bridgeport,255630.0,600000.0
2021,Danbury,310200.0,331000.0
2021,Chaplin,647300.0,737500.0
