Town,Sale Amount,Date
Andover,320893.0007627551,2006-10-01
Andover,320893.0007627551,2006-11-01
Andover,320893.0007627551,2006-12-01
Andover,320893.0007627551,2007-01-01
Andover,320893.0007627551,2007-02-01
Andover,320893.0007627551,2007-03-01
Andover,320893.0007627551,2007-04-01
Andover,320893.0007627551,2007-05-01
Andover,320893.0007627551,2007-06-01
Andover,320893.0007627551,2007-07-01
Andover,320893.0007627551,2007-08-01
Andover,320893.0007627551,2007-09-01
Andover,404144.0,2007-10-01
Andover,450404.5,2007-11-01
Andover,301307.5,2007-12-01
Andover,221000.0,2008-01-01
Andover,390000.0,2008-02-01
Andover,413300.3333333333,2008-03-01
Andover,455000.0,2008-04-01
Andover,474500.0,2008-05-01
Andover,431262.0,2008-06-01
Andover,265200.0,2008-07-01
Andover,298805.0,2008-08-01
Andover,439075.0,2008-09-01
Andover,124800.0,2008-10-01
Andover,250412.5,2008-11-01
Andover,273000.0,2008-12-01
Andover,418535.0,2009-01-01
Andover,318500.0,2009-02-01
Andover,368416.28571428574,2009-03-01
Andover,320893.0007627551,2009-04-01
Andover,172250.0,2009-05-01
Andover,274787.5,2009-06-01
Andover,313885.0,2009-07-01
Andover,331933.3333333333,2009-08-01
Andover,320893.0007627551,2009-09-01
Andover,263900.0,2009-10-01
Andover,327892.5,2009-11-01
Andover,243836.66666666666,2009-12-01
Andover,343850.0,2010-01-01
Andover,436312.5,2010-02-01
Andover,336050.0,2010-03-01
Andover,356200.0,2010-04-01
Andover,257935.34,2010-05-01
Andover,326300.0,2010-06-01
Andover,186290.0,2010-07-01
Andover,305196.45,2010-08-01
Andover,223954.9,2010-09-01
Andover,340383.3333333333,2010-10-01
Andover,264073.3333333333,2010-11-01
Andover,298815.8333333333,2010-12-01
Andover,168870.0,2011-01-01
Andover,231400.0,2011-02-01
Andover,227500.0,2011-03-01
Andover,338650.0,2011-04-01
Andover,264030.0,2011-05-01
Andover,344500.0,2011-06-01
Andover,406250.0,2011-07-01
Andover,407864.1666666667,2011-08-01
Andover,489775.0,2011-09-01
Andover,320893.0007627551,2011-10-01
Andover,252633.33333333334,2011-11-01
Andover,233350.0,2011-12-01
Andover,320893.0007627551,2012-01-01
Andover,611000.0,2012-02-01
Andover,320893.0007627551,2012-03-01
Andover,320893.0007627551,2012-04-01
Andover,320893.0007627551,2012-05-01
Andover,320893.0007627551,2012-06-01
Andover,320893.0007627551,2012-07-01
Andover,320893.0007627551,2012-08-01
Andover,320893.0007627551,2012-09-01
Andover,320893.0007627551,2012-10-01
Andover,260975.0,2012-11-01
Andover,297050.0,2012-12-01
Andover,418600.0,2013-01-01
Andover,416000.0,2013-02-01
